title,openreview_link,authors
Theoretical Guarantees of Learning Ensembling Strategies with Applications to Time Series Forecasting,https://openreview.net/forum?id=YbYMRZbO1Y,"Hilaf Hasson, Danielle Robinson, Yuyang Wang, Gaurav Gupta, Youngsuk Park"
Sample Complexity Bounds for Learning High-dimensional Simplices in Noisy Regimes,https://openreview.net/forum?id=0YGT8Bqpoa,"seyed amir saberi, Amir Najafi, Abolfazl Motahari, Babak Khalaj"
Grounding Language Models to Images for Multimodal Inputs and Outputs,https://openreview.net/forum?id=ElaajXDEKR,"Jing Yu Koh, Ruslan Salakhutdinov, Daniel Fried"
Training-Free Neural Active Learning with Initialization-Robustness Guarantees,https://openreview.net/forum?id=t5MZWqRtLq,"Apivich Hemachandra, Zhongxiang Dai, Jasraj Singh, See-Kiong Ng, Bryan Kian Hsiang Low"
Scaling Vision Transformers to 22 Billion Parameters,https://openreview.net/forum?id=Lhyy8H75KA,"Mostafa Dehghani, Josip Djolonga, Basil Mustafa, Piotr Padlewski, Jonathan Heek, Justin Gilmer, Andreas Steiner, Mathilde Caron, Robert Geirhos, Ibrahim Alabdulmohsin, Rodolphe Jenatton, Lucas Beyer, Michael Tschannen, Anurag Arnab, Xiao Wang, Carlos Riquelme, Matthias Minderer, Joan Puigcerver, Utku Evci, Manoj Kumar, Sjoerd van Steenkiste, Gamaleldin Elsayed, Aravindh Mahendran, Fisher Yu, Avital Oliver, Fantine Huot, Jasmijn Bastings, Mark Collier, Alexey Gritsenko, Vighnesh N Birodkar, Cristina Vasconcelos, Yi Tay, Thomas Mensink, Alexander Kolesnikov, Filip Pavetic, Dustin Tran, Thomas Kipf, Mario Lucic, Xiaohua Zhai, Daniel Keysers, Jeremiah Harmsen, Neil Houlsby"
Chameleon: Adapting to Peer Images for Planting Durable Backdoors in Federated Learning,https://openreview.net/forum?id=HtHFnHrZXu,"Yanbo Dai, Songze Li"
Partial Optimality in Cubic Correlation Clustering,https://openreview.net/forum?id=kdrPtUAfNx,"David Stein, Silvia Di Gregorio, Bjoern Andres"
Poisoning Language Models During Instruction Tuning,https://openreview.net/forum?id=JxtE52KIBR,"Alexander Wan, Eric Wallace, Sheng Shen, Dan Klein"
Learning Distributions over Quantum Measurement Outcomes,https://openreview.net/forum?id=hdGyjAnqZG,"Weiyuan Gong, Scott Aaronson"
Recasting Self-Attention with Holographic Reduced Representations,https://openreview.net/forum?id=CTZHb6PrHF,"Mohammad Mahmudul Alam, Edward Raff, Stella Biderman, Tim Oates, James Holt"
